h,oc
0.0760454,8.9
0.073737839,11.4
0.06771345,15.5
0.053480818,15.8
0.057766382,16.6
0.070167373,15.7
0.056954535,34.1
0.074484354,13.2
0.070453212,14.5
0.057946953,13.8
0.056507893,41.4
0.064602608,36.3
0.05906073,34.4
0.074324853,11.9
0.07742805,8.6
0.05822498,22.2
0.074294061,11.3
0.056031407,16.7
0.077495847,9.7
0.054959298,27.4
0.073574746,18.5
0.057159833,15.3
0.067846741,20.9
0.080790279,22.4
0.06642806,20.2
0.064633556,20.1
0.048405338,141.9
0.068306684,14.9
0.07531491,10
0.078900657,34.3
0.063592649,15.2
0.066999658,18.1
0.071960342,14.5
0.06870421,13
0.069597187,21.1
0.065620082,8.7
0.062543525,24.6
0.066712399,21.2
0.071536848,21.8
0.071105195,14.3
0.065597502,34.3
0.059025122,32.7
0.070788312,13.2
0.071250391,18.1
0.067129706,21.1
0.066149317,25.1
0.067732229,18
0.054719556,36.7
0.066417702,12.9
0.075534252,19.4
0.074859783,32.7
0.072058067,15.7
0.070199476,14.5
0.059391119,12.9
0.073440439,7.6
0.072420296,12.7
0.069941326,13.9
0.071267384,14.5
0.075211321,23.2
0.066009075,19
0.06829007,37.1
0.067991371,24.3
0.074495034,9.8
0.075076808,15.9
0.070669326,11.4
0.061010152,14.4
0.068659259,20.3
0.069319515,15.1
0.079896029,23
0.070426813,12.7
0.075193455,12.6
0.072223154,14.5
0.068766579,17
0.067330416,26
0.066709034,25.1
0.074191403,14.9
0.077087668,11.6
0.071966432,28.5
0.084600781,34.7
0.083417117,9.8
0.080426068,16.1
0.061262949,31.2
0.063051441,27.7
0.065910267,13.5
0.066509249,20
0.069008537,17.7
0.072404108,15.4
0.067997017,20
0.081369091,13.6
0.068217912,14.1
0.067382263,15.8
0.07668229,18.2
0.072683041,7
0.069954307,16.3
0.068312977,18.4
0.086295967,18.6
0.066419053,19.7
0.077491061,17.3
0.085739752,17.2
0.066047428,14.5
0.067641924,35.8
0.070086149,20.9
0.068673526,15.5
0.072059886,22.5
0.075189544,19.4
0.073363717,11.8
0.079413814,16
0.078949627,31.9
0.083216283,14.1
0.081708222,11.1
0.081407797,6.3
0.071665208,22.5
0.068419293,23.7
0.072729092,21.8
0.071446764,9.6
0.081311183,13.1
0.074329967,14.6
0.065576281,16.9
0.070853305,15.2
0.068036217,15.4
0.069599669,16.1
0.067557383,15.7
0.079615919,18.9
0.07202811,9.8
0.070061958,13.6
0.070851412,18.5
0.078432079,15.7
0.067289976,15.6
0.077617596,20.7
0.061320131,10.4
0.066093455,23.6
0.070602252,32.2
0.068642887,34.6
0.078914121,46.3
0.076484075,17.4
0.088984094,7.4
0.073826361,32.5
